"505","N","2002","Gemiddelde koers"
"519","S","2002","Cotización media"
"800","V","2002","Genomsnittskurs"
"519","S","2003","T/C histórico"
"800","V","2003","Historisk kurs"
"505","N","2003","Historische koers"
"109","H","B","Standard átszámítás eladási árfolyamon"
"505","N","2004","Peildatumkoers van het afgelopen jaar"
"109","H","EURO","EMU-előírás\, fix árfolyamok"
"800","V","2004","Kurs för referensdag föreg.år"
"519","S","2004","T/C en fecha clave ej.ant."
"505","N","B","Standaardomrekening tegen girale koers"
"800","V","B","Standardomräkning (säljkurs)"
"109","H","EURX","EMU-előírás\, változó árfolyamok"
"519","S","B","Conversión normal según T/C vendedor"
"505","N","EURO","Standaardomrekening tegen middenkoers"
"800","V","EURO","EMU-regel\, fasta kurser"
"519","S","EURO","Norma UME\, tipo de cambio fijo"
"109","H","G","Standard átszámítás vételi árfolyamon"
"800","V","EURX","EMU-regel\, variabla kurser"
"505","N","G","Standaardomrekening tegen chartale koers"
"800","V","G","Standardomräkning (köpkurs)"
"109","H","I","IntraStat árfolyamtípus"
"519","S","EURX","Nomra UME\, tipo de cambio variable"
"505","N","M","Standaardomrekening tegen middenkoers"
"800","V","I","Kurskategori IntraStat"
"109","H","M","Standard átszámítás középárfolyamon"
"519","S","G","Conversión normal según T/C comprador"
"505","N","P","Standaardomrekening voor kostenplanning"
"800","V","M","Standardomräkning (genomsnittskurs)"
"505","P","1001","Câmbio a data fixa"
"109","H","P","Standard átszámítás költségtervezéshez"
"519","S","I","Tipo de cotización IntraStat"
"800","V","P","Standardomräkning för kostn.planeringen"
"505","P","1002","Câmbio médio"
"800","Z","001","Current exchange rate"
"505","P","1003","Câmbio histórico"
"109","J","100*","参照値 = グループ値"
"519","S","M","Conversión normal según T/C estándar"
"800","Z","0011","Current exchange rate"
"109","J","1001","現換算レート"
"505","P","1004","Câmbio a data fixa do ano precedente"
"519","S","P","Conversión estándar para planif.costes"
"800","Z","001D","Current exchange rate"
"505","P","2001","Câmbio a data fixa"
"109","J","1002","平均換算レート"
"505","P","2002","Câmbio médio"
"519","V","100*","Referensvärde = KO-val.värde"
"800","Z","0021","Current exchange rate"
"109","J","1003","取得時換算レート"
"505","P","2003","Câmbio histórico"
"800","Z","0022","Average exchange rate"
"519","V","1001","Kurs för referensdag"
"109","J","1004","前年度換算レート"
"505","P","2004","Câmbio a data fixa do ano precedente"
"800","Z","100*","Reference value = group value"
"519","V","1002","Genomsnittskurs"
"109","J","200*","参照値 = グループ値"
"505","P","B","Conversão standard com câmbio de venda"
"800","Z","1001","Current exchange rate"
"519","V","1003","Historisk kurs"
"109","J","2001","現換算レート"
"505","P","EURO","Conversão standard com câmbio médio"
"800","Z","1002","Average rate"
"519","V","1004","Kurs för referensdag föreg.år"
"109","J","2002","平均換算レート"
"800","Z","1003","Historical rate"
"505","P","G","Conversão standard com câmbio de compra"
"800","Z","1004","Rate on key date in previous year"
"109","J","2003","取得時換算レート"
"505","P","M","Conversão standard com câmbio médio"
"519","V","200*","Referensvärde = KO-val.värde"
"800","Z","1011","Current exchange rate"
"109","J","2004","前年度換算レート"
"505","P","P","Conversão standard p/planejamento custos"
"519","V","2001","Kurs för referensdag"
"800","Z","1012","Average rate"
"505","S","1001","T/C en fecha clave"
"519","V","2002","Genomsnittskurs"
"800","Z","1013","Historical rate"
"109","J","B","電信売買売値"
"505","S","1002","T/C estándar"
"519","V","2003","Historisk kurs"
